Date,Competition,Keegan Messing,Nam Nguyen,Roman Sadovsky
Mar-19,2019 ISU World Championships,237.64,237.27,N/A
Sep-19,2019 CS Nebelhorn Trophy,N/A,209.84,N/A
Sep-19,2019 CS Finlandia Trophy,N/A,N/A,222.23
Sep-19,2019 CS Autumn Classic International,256.02,N/A,N/A
Oct-19,2019 Skate Canada International,N/A,262.77,204.35
Oct-19,2019 Skate America,239.34,N/A,N/A
Nov-19,2019 Rostelecom Cup,N/A,246.2,N/A
Nov-19,2019 Cup of China,237.36,N/A,N/A
Nov-19,2019 NHK Trophy,N/A,N/A,247.5
Jan-20,2020 Canadian Championships,241.79,243.51,260.57
Feb-20,2020 ISU Four Continents Championships,243.93,251.6,200.5
Oct-20,2020 Skate America ,266.42,N/A,N/A
Jan-21,2020 Skate Canada Challenge,N/A,256.43,262.01
,AVERAGE,247.4766667,243.9457143,232.86
,HIGHEST SCORE,266.42,262.77,262.01
,LOWEST SCORE,237.36,209.84,200.5
,HIGHEST INTERNATIONAL,266.42,262.77,262.01
,LOWEST INTERNATIONAL,237.36,209.84,200.5
,,,,
,,,,
,,,,
,,,,
,,,,